,price,adress,Комнат,Площадь,Кухня,Этаж,Ремонт,Тип сделки,Количество балконов,Мусоропровод,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество квартир,Холодное водоснабжение,Теплоснабжение,Энергоснабжение,Водоотведение,Балкон,Детская площадка,Год ввода в эксплуатацию,Класс энергоэффективности,Количество подъездов,Количество лифтов,Жилая,Высота потолков,Грузовой лифт,Газ,Лет в собственности,Вид из окон,Вентиляция,Количество собственников,Несовершеннолетние собственники,Прописанные несовершеннолетние,Перепланировка,Спортивная площадка,Санузел,Наименьшее количество этажей,Площадь парковки,latitude,longitude
237,15000000.0,"Владивосток, Монтажная улица, 13",4.0,106.2,11.3,6.0,1,Альтернатива,1.0,есть,2001.0,Кирпичный,,13.0,1.0,Железобетонный,Ленточный,центральное,210.0,,,,,0,,,,,,,,,,,,,,,,,,,,,43.0952616,131.9625556002723
238,10000000.0,"Владивосток, проспект Красного Знамени, 139",1.0,46.0,15.0,14.0,1,Свободная продажа,1.0,,2022.0,Монолитный,,25.0,,Железобетонный,,Поквартирный котел,120.0,,,,,1,,,,,,,,,,,,,,,,,,,,,43.125868249999996,131.93411762227737
239,9500000.0,"Владивосток, Южно-Уральская улица, 10а",1.0,38.8,12.0,5.0,1,,1.0,,2009.0,Монолитный,,15.0,1.0,Железобетонный,Свайный,Закрытая с приготовлением горячей воды на ИТП,,Центральное,,,,1,,,A,,,,,,,,,,,,,,,,,,43.1530927,131.9144007254032
240,10500000.0,"Владивосток, Партизанский проспект, 28а",4.0,73.7,,5.0,1,,1.0,есть,1972.0,Кирпичный,,6.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,,,0,,,C,,,,,,,,,,,,,,,,,,43.12674165,131.89898438535536
241,17000000.0,"Владивосток, Авроровская улица, 17",,,,,0,,,,2007.0,Смешанные,"14/14, индивидуальный",17.0,1.0,Железобетонный,Свайный,Закрытая с приготовлением горячей воды на ЦТП,,Центральное,,,,1,,,,,,,,,,,,,,,,,,,,,43.127353,131.887167
242,12200000.0,"Владивосток, Эко-Квартал, Русская улица, 57цк",3.0,66.1,17.0,2.0,1,Свободная продажа,1.0,,2022.0,Панельный,,9.0,,Железобетонный,,Центральное,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
243,12300000.0,"Владивосток, проспект 100",2.0,50.5,7.0,2.0,1,Свободная продажа,1.0,,2019.0,Монолитный,,25.0,,Железобетонный,,Центральное,,,,,,0,,,,1.0,,,,,,,,,,,,,,,,,43.1552073,131.911553
244,4300000.0,"Владивосток, Русская улица, 59",1.0,22.6,4.0,4.0,1,,,есть,1977.0,Панельный,,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,0,,,D,,1.0,,,,,,,,,,,,,,,,43.1694731,131.92512438450237
245,4000000.0,"Владивосток, проспект 100",,17.8,5.0,15.0,0,,1.0,,2023.0,Монолитный,,26.0,,Железобетонный,,,450.0,,,,,1,,,,,,,,,,,,,,,,,,,,,43.1552073,131.911553
246,8200000.0,"Владивосток, Вокзальная улица, 1",2.0,44.1,6.0,3.0,1,,1.0,,,Панельный,,5.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.136469250000005,131.90191069994407
247,13200000.0,"Владивосток, Русская улица, 95",3.0,53.0,10.0,14.0,1,,1.0,,2022.0,Монолитный,,25.0,,Железобетонный,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.17579885,131.94006015
248,8500000.0,"Владивосток, Монтажная улица, 13",,,,,1,,,есть,2001.0,Кирпичный,,13.0,1.0,Железобетонный,Ленточный,центральное,210.0,,,,,0,,,,,,,,,,,,,,,,,,,,,43.0952616,131.9625556002723
249,10000000.0,"Владивосток, Океанский проспект, 140",2.0,46.0,6.0,9.0,1,,1.0,есть,1981.0,Панельный,1-468,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.132885,131.9089821
